Bairro,preco_area
Acarape,2917.7718832891246
Aeroporto,2661.246668944312
Alto Alegre,2363.7961335676628
Angelim,1553.5874439461884
Aroeiras,1969.0528634361235
Bela Vista,1826.180270111568
Boa Esperança,1617.6470588235295
Bom Princípio,3541.6666666666665
Buenos Aires,1453.2984977139124
Cabral,5259.378839590443
Campestre,2918.429003021148
Catarina,3254.437869822485
Centro,3379.2766150221983
Cidade Jardim,3115.520833333333
Cidade Nova,3274.411682892907
Colorado,2725.663716814159
Comprida,1919.1919191919192
Cristo Rei,3923.112893815636
Esplanada,1650.0
Extrema,1395.0
Frei Higino,1648.936170212766
Frei Serafim,4504.114335210048
Fátima,6159.326753864448
Gurupi,4756.734462382611
Horto,5507.034500416054
Ilhotas,5417.853178879311
Ininga,4402.365119570886
Itararé,1961.75972927242
Jacinta Andrade,2000.0
João XXIII,2645.833333333333
Jóquei,7217.85265410959
Livramento,3000.0
Lourival Parente,2965.8721560130007
Macaúba,4569.3418940609945
Mafuá,3640.256959314775
Marquês,4596.231493943473
Matadouro,2101.9108280254777
Memorare,2063.53550295858
Mocambinho,2398.945518453427
Monte Castelo,4388.491823137492
Morada Nova,2865.168539325842
Morada do Sol,3358.0017761989343
Morro da Esperança,2500.0
Morros,4433.550179508423
Noivos,4766.882487351069
Nossa Senhora das Graças,4715.6950672645735
Nova Brasília,866.6666666666666
Novo Horizonte,3122.67657992565
Novo Uruguai,4673.015873015873
Núcleo Urbano Fazenda Real,5434.8198970840485
Parque Alvorada,2234.63687150838
Parque Brasil,1002.0661157024792
Parque Ideal,2249.1388589881594
Parque Piauí,2231.25
Parque Poti,1400.966183574879
Parque Sul,2397.66081871345
Parque São João,2697.2477064220184
Pedra Miúda,1714.2857142857142
Pedra Mole,3546.091015169194
Piçarra,3690.34994697773
Piçarreira,3126.03706972639
Planalto,2845.1110470147105
Porenquanto,2962.962962962963
Portal da Alegria,994.0340909090908
Porto do Centro,2661.6303724928366
Primavera,2700.0997304582206
Promorar,1902.654867256637
Real Copagri,1818.1818181818185
Recanto das Palmeiras,4100.009525588345
Reis Veloso,1555.5555555555557
Renascença,2892.561983471074
Rodoviária,2434.782608695652
Saci,2236.370871468365
Samapi,5107.766990291262
Santa Cruz,1187.8453038674031
Santa Isabel,3715.076815234535
Santa Lia,2947.92973651192
Santa Luzia,2428.5714285714284
Santa Maria,2256.717128027681
Santa Rosa,2644.927536231884
Santo Antônio,1170.212765957447
Satélite,3071.049136786188
Socopo,3163.4318882641032
São Cristóvão,5129.567064175068
São João,3524.357667516114
São Pedro,3235.0142721217885
São Sebastião,3012.232415902141
Tabajaras,6391.359135913591
Tabuleta,1856.0606060606065
Tancredo Neves,3030.3030303030305
Todos os Santos,2880.4347826086955
Triunfo,4429.45205479452
Três Andares,3222.367441860465
Uruguai,5661.727937098301
Vale Quem Tem,2303.421405089492
Vale do Gavião,2862.280701754386
Verde Lar,2210.484581497797
Verdecap,2622.9508196721317
Vermelha,1741.9354838709678
Vila Operária,1492.3747276688453
Zoobotânico,4950.5243412237605
