,Bairro,preco_area
0,Acarape,2917.7718832891246
1,Aeroporto,2661.2466689443118
2,Alto Alegre,2363.7961335676628
3,Angelim,1553.5874439461884
4,Aroeiras,1969.0528634361235
5,Bela Vista,1826.1802701115678
6,Boa Esperança,1617.6470588235295
7,Bom Princípio,3541.6666666666665
8,Buenos Aires,1453.2984977139124
9,Cabral,5259.378839590443
10,Campestre,2918.429003021148
11,Catarina,3254.437869822485
12,Centro,3379.2766150221983
13,Cidade Jardim,3115.520833333333
14,Cidade Nova,3274.411682892907
15,Colorado,2725.663716814159
16,Comprida,1919.1919191919192
17,Cristo Rei,3923.1128938156357
18,Esplanada,1650.0
19,Extrema,1395.0
20,Frei Higino,1648.936170212766
21,Frei Serafim,4504.114335210048
22,Fátima,6159.326753864448
23,Gurupi,4756.734462382611
24,Horto,5507.034500416054
25,Ilhotas,5417.853178879311
26,Ininga,4402.365119570886
27,Itararé,1961.7597292724197
28,Jacinta Andrade,2000.0
29,João XXIII,2645.833333333333
30,Jóquei,7217.85265410959
31,Livramento,3000.0
32,Lourival Parente,2965.8721560130007
33,Macaúba,4569.3418940609945
34,Mafuá,3640.256959314775
35,Marquês,4596.231493943473
36,Matadouro,2101.9108280254777
37,Memorare,2063.53550295858
38,Mocambinho,2398.945518453427
39,Monte Castelo,4388.491823137492
40,Morada Nova,2865.1685393258426
41,Morada do Sol,3358.0017761989343
42,Morro da Esperança,2500.0
43,Morros,4433.550179508423
44,Noivos,4766.882487351069
45,Nossa Senhora das Graças,4715.6950672645735
46,Nova Brasília,866.6666666666666
47,Novo Horizonte,3122.67657992565
48,Novo Uruguai,4673.015873015873
49,Núcleo Urbano Fazenda Real,5434.8198970840485
50,Parque Alvorada,2234.63687150838
51,Parque Brasil,1002.0661157024792
52,Parque Ideal,2249.1388589881594
53,Parque Piauí,2231.25
54,Parque Poti,1400.9661835748793
55,Parque Sul,2397.66081871345
56,Parque São João,2697.2477064220184
57,Pedra Miúda,1714.2857142857142
58,Pedra Mole,3546.0910151691946
59,Piçarra,3690.3499469777303
60,Piçarreira,3126.03706972639
61,Planalto,2845.1110470147105
62,Porenquanto,2962.962962962963
63,Portal da Alegria,994.0340909090909
64,Porto do Centro,2661.6303724928366
65,Primavera,2700.0997304582206
66,Promorar,1902.654867256637
67,Real Copagri,1818.1818181818182
68,Recanto das Palmeiras,4100.009525588345
69,Reis Veloso,1555.5555555555557
70,Renascença,2892.561983471074
71,Rodoviária,2434.782608695652
72,Saci,2236.370871468365
73,Samapi,5107.766990291262
74,Santa Cruz,1187.8453038674033
75,Santa Isabel,3715.076815234535
76,Santa Lia,2947.9297365119196
77,Santa Luzia,2428.5714285714284
78,Santa Maria,2256.717128027681
79,Santa Rosa,2644.927536231884
80,Santo Antônio,1170.212765957447
81,Satélite,3071.0491367861882
82,Socopo,3163.4318882641032
83,São Cristóvão,5129.567064175068
84,São João,3524.357667516114
85,São Pedro,3235.0142721217885
86,São Sebastião,3012.232415902141
87,Tabajaras,6391.359135913591
88,Tabuleta,1856.0606060606062
89,Tancredo Neves,3030.3030303030305
90,Todos os Santos,2880.4347826086955
91,Triunfo,4429.45205479452
92,Três Andares,3222.367441860465
93,Uruguai,5661.727937098301
94,Vale Quem Tem,2303.421405089492
95,Vale do Gavião,2862.280701754386
96,Verde Lar,2210.4845814977975
97,Verdecap,2622.9508196721313
98,Vermelha,1741.9354838709678
99,Vila Operária,1492.3747276688453
100,Zoobotânico,4950.5243412237605
